Serial Number,Project Name,Category/Company,Amount/Value,PDF Link,PDF Filename
1,3 Ply Mask,Samadhan Projects,1805000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/3PlyMask.pdf,3PlyMask.pdf
2,4T Oil Blending Plant,Samadhan Projects,6891000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/4TLubricantsOilChemical.pdf,4TLubricantsOilChemical.pdf
3,ADD-ON CARDS FOR COMPUTER,SERVICE AND TEXTILE INDUSTRY,450000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ADDONCARDSFORCOMPUTER.pdf,ADDONCARDSFORCOMPUTER.pdf
4,AIR CONDITIONER (SPLIT TYPES),RURAL ENGG. AND BIO-TECH INDUSTRY,1016000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON AIR CONDITIONER (SPLIT TYPES).pdf,PROJECT PROFILE ON AIR CONDITIONER (SPLIT TYPES).pdf
5,ALOE VERA GEL,POLYMER AND CHEMICAL BASED INDUSTRY,1860000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON  ALOE VERA GEL.pdf,PROJECT PROFILE ON  ALOE VERA GEL.pdf
6,ALTERNATORS FOR AUTOMOBILES,RURAL ENGG. AND BIO-TECH INDUSTRY,1745000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALTERNATORS FOR AUTOMOBILES.pdf,PROJECT PROFILE ON ALTERNATORS FOR AUTOMOBILES.pdf
7,ALUMINIUM CANS,RURAL ENGG. AND BIO-TECH INDUSTRY,1500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM CANS.pdf,PROJECT PROFILE ON ALUMINIUM CANS.pdf
8,ALUMINIUM FABRICATION,RURAL ENGG. AND BIO-TECH INDUSTRY,265000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM FABRICATION.pdf,PROJECT PROFILE ON ALUMINIUM FABRICATION.pdf
9,ALUMINIUM FURNITURE,RURAL ENGG. AND BIO-TECH INDUSTRY,400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ALUMINIUM FURNITURE.pdf,PROJECT PROFILE ON ALUMINIUM FURNITURE.pdf
10,ALUMINIUM UTENSIL UNIT,RURAL ENGG. AND BIO-TECH INDUSTRY,1856000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ALUMINIUM UTENSIL UNIT.pdf,ALUMINIUM UTENSIL UNIT.pdf
11,ALUMINIUM VENETIAN SCHEME,RURAL ENGG. AND BIO-TECH INDUSTRY,705200,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ALUMINIUM VENETIAN SCHEME.pdf,ALUMINIUM VENETIAN SCHEME.pdf
12,AMMONIA (BLUE) PRINT,SERVICE AND TEXTILE INDUSTRY,207000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON AMMONIA (BLUE) PRINT.pdf,PROJECT PROFILE ON AMMONIA (BLUE) PRINT.pdf
13,ASSEMBLING OF DISPLAY MONITOR,SERVICE AND TEXTILE INDUSTRY,405520,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ASSEMBLING OF  DISPLAY MONITOR.pdf,ASSEMBLING OF  DISPLAY MONITOR.pdf
14,ASSEMBLING OF ELECTRONIC GAS LIGHTERS,RURAL ENGG. AND BIO-TECH INDUSTRY,309000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ASSEMBLING OF ELECTRONIC GAS LIGHTERS.pdf,PROJECT PROFILE ON ASSEMBLING OF ELECTRONIC GAS LIGHTERS.pdf
15,ASSEMBLY OF BEVERAGE VENDING MACHINE,RURAL ENGG. AND BIO-TECH INDUSTRY,1656000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ASSEMBLY OF BEVERAGE VENDING MACHINE.pdf,PROJECT PROFILE ON ASSEMBLY OF BEVERAGE VENDING MACHINE.pdf
16,ASSEMBLY OF DIESEL GENERATOR SET,RURAL ENGG. AND BIO-TECH INDUSTRY,385420,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ASSEMBLY OF DIESEL GENERATOR SET.pdf,ASSEMBLY OF DIESEL GENERATOR SET.pdf
17,ASSEMBLY OF HOME SECURITY SYSTEM,RURAL ENGG. AND BIO-TECH INDUSTRY,2193000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ASSEMBLY OF HOME SECURITY SYSTEM.pdf,PROJECT PROFILE ON ASSEMBLY OF HOME SECURITY SYSTEM.pdf
18,AUTO GARRAGE,SERVICE AND TEXTILE INDUSTRY,660000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AUTO GARRAGE.pdf,AUTO GARRAGE.pdf
19,AUTOMATIC CURTAIN OPENER,RURAL ENGG. AND BIO-TECH INDUSTRY,745300,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AUTOMATIC CURTAIN OPENER.pdf,AUTOMATIC CURTAIN OPENER.pdf
20,AUTOMOBILE SILENCER,RURAL ENGG. AND BIO-TECH INDUSTRY,1200000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON AUTOMOBILE SILENCER.pdf,PROJECT PROFILE ON AUTOMOBILE SILENCER.pdf
21,Acetylene Gas,Samadhan Projects,2094000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcetyleneGas.pdf,AcetyleneGas.pdf
22,Acrylic Paints(Chemical),Samadhan Projects,2156000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcrylicPaintsChemical.pdf,AcrylicPaintsChemical.pdf
23,Acrylic Signage Board,Samadhan Projects,2111000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcrylicSignageBoard.pdf,AcrylicSignageBoard.pdf
24,Adhesive Tapes,Samadhan Projects,1350000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AdhesiveTapes.pdf,AdhesiveTapes.pdf
25,Adjustable hospital beds,Samadhan Projects,1293000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Adjustablehospitalbeds.pdf,Adjustablehospitalbeds.pdf
26,Aerosol,Samadhan Projects,2256000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Aerosol.pdf,Aerosol.pdf
27,Agarbatti,Samadhan Projects,757000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Agarbatti.pdf,Agarbatti.pdf
28,Air Bubble Sheet,Samadhan Projects,6606000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirBubbleSheet.pdf,AirBubbleSheet.pdf
29,Air Cooler,Samadhan Projects,2044000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirCooler.pdf,AirCooler.pdf
30,Air Filter,Samadhan Projects,2580000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirFilter.pdf,AirFilter.pdf
31,Air Freshner,Samadhan Projects,2156000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirFreshner.pdf,AirFreshner.pdf
32,Air Springs,Samadhan Projects,2407000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirSprings.pdf,AirSprings.pdf
33,Air-Pollution Mask,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirPollutionMask.pdf,AirPollutionMask.pdf
34,Alkyd Resin,Samadhan Projects,3665000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlkydResin.pdf,AlkydResin.pdf
35,All Purpose cream,Samadhan Projects,1495000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AllPurposecream.pdf,AllPurposecream.pdf
36,Allen Screws,Samadhan Projects,2315000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AllenScrews.pdf,AllenScrews.pdf
37,Almond Cream,Samadhan Projects,1701000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlmondCream.pdf,AlmondCream.pdf
38,Aloevera Juice,Samadhan Projects,2656000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AloeveraJuice.pdf,AloeveraJuice.pdf
39,Alovera Gel mfg.,Samadhan Projects,2483000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AloveraGelmfg.pdf,AloveraGelmfg.pdf
40,Alum,Samadhan Projects,2389000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Alum.pdf,Alum.pdf
41,Alum (Phitkari) Manufacturing,Samadhan Projects,2406000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AlumPhitkariManufacturing.pdf,AlumPhitkariManufacturing.pdf
42,Aluminium Castings Project,Samadhan Projects,1787000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumCastingsProject.pdf,AluminiumCastingsProject.pdf
43,Aluminium Fabrictaion,Samadhan Projects,1756000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumFabrictaion.pdf,AluminiumFabrictaion.pdf
44,Aluminium Foil Rewinding,Samadhan Projects,1249000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ALuminiumFoilRewinding.pdf,ALuminiumFoilRewinding.pdf
45,Aluminium Powder,Samadhan Projects,2122000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumPowder.pdf,AluminiumPowder.pdf
46,Aluminium Utensils,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminiumUtensils.pdf,AluminiumUtensils.pdf
47,Aluminum Foil Container,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AluminumFoilContainer.pdf,AluminumFoilContainer.pdf
48,Amaranthus_DPR,Samadhan Projects,1904000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AmaranthusDPR.pdf,AmaranthusDPR.pdf
49,Amla Processing,Samadhan Projects,5216000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AmlaProcessing.pdf,AmlaProcessing.pdf
50,Amranthus,Samadhan Projects,2354000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Amranthus.pdf,Amranthus.pdf
